Time(s)	Force(lb)	Position(mm)
25.9158	0.033393	45.4660
25.9658	0.033391	45.4606
26.0158	0.033393	45.4558
26.0739	0.033401	45.4499
26.1239	0.033405	45.4448
26.1739	0.033407	45.4400
26.2239	0.033413	45.4347
26.2656	0.033415	45.4307
26.3156	0.033419	45.4258
26.3656	0.033421	45.4207
26.4156	0.033429	45.4159
26.4735	0.033429	45.4097
26.5235	0.033429	45.4051
26.5735	0.033429	45.3998
26.6235	0.033431	45.3948
26.6682	0.033433	45.3907
26.7182	0.033444	45.3853
26.7682	0.033446	45.3806
26.8182	0.033448	45.3755
26.8574	0.033454	45.3714
26.9074	0.033450	45.3667
26.9574	0.033456	45.3615
27.0074	0.033462	45.3566
27.0658	0.033458	45.3508
27.1158	0.033464	45.3458
27.1658	0.033466	45.3411
27.2158	0.033462	45.3355
27.2572	0.033474	45.3316
27.3072	0.033482	45.3266
27.3572	0.033480	45.3213
27.4072	0.033480	45.3169
27.4651	0.033486	45.3107
27.5151	0.033494	45.3059
27.5651	0.033492	45.3011
27.6151	0.033488	45.2960
27.6571	0.033498	45.2913
27.7071	0.033506	45.2866
27.7571	0.033504	45.2820
27.8071	0.033504	45.2771
27.8649	0.033498	45.2709
27.9149	0.033508	45.2656
27.9649	0.033514	45.2608
28.0149	0.033523	45.2558
28.0569	0.033519	45.2517
28.1069	0.033523	45.2470
28.1569	0.033523	45.2397
28.2069	0.033527	45.2373
28.2648	0.033531	45.2305
28.3148	0.033537	45.2258
28.3648	0.033537	45.2211
28.4148	0.033539	45.2160
28.4567	0.033543	45.2118
28.5067	0.033551	45.2070
28.5567	0.033551	45.2017
28.6067	0.033551	45.1968
28.6646	0.033553	45.1908
28.7146	0.033565	45.1857
28.7646	0.033557	45.1811
28.8146	0.033563	45.1765
28.8565	0.033567	45.1722
28.9065	0.033569	45.1669
28.9565	0.033577	45.1614
29.0065	0.033581	45.1558
29.0646	0.033571	45.1507
29.1146	0.033571	45.1459
29.1646	0.033581	45.1409
29.2146	0.033594	45.1359
29.2563	0.033594	45.1319
29.3063	0.033594	45.1267
29.3563	0.033598	45.1218
29.4063	0.033602	45.1170
29.4643	0.033608	45.1113
29.5143	0.033614	45.1060
29.5643	0.033614	45.1004
29.6143	0.033614	45.0960
29.6562	0.033614	45.0920
29.7062	0.033620	45.0870
29.7562	0.033624	45.0816
29.8062	0.033628	45.0764
29.8641	0.033628	45.0709
29.9141	0.033626	45.0658
29.9641	0.033630	45.0609
30.0141	0.033638	45.0561
30.0560	0.033642	45.0515
30.1060	0.033646	45.0468
30.1560	0.033646	45.0416
30.2060	0.033650	45.0365
30.2479	0.033652	45.0326
30.2979	0.033650	45.0279
30.3479	0.033658	45.0228
30.3979	0.033662	45.0178
30.4559	0.033660	45.0120
30.5059	0.033671	45.0067
30.5559	0.033675	45.0015
30.6059	0.033673	44.9966
30.6478	0.033673	44.9924
30.6978	0.033683	44.9873
30.7478	0.033695	44.9826
30.7978	0.033695	44.9780
30.8561	0.033689	44.9721
30.9061	0.033687	44.9667
30.9561	0.033695	44.9616
31.0061	0.033703	44.9569
31.0476	0.033707	44.9524
31.0976	0.033705	44.9474
31.1476	0.033711	44.9424
31.1976	0.033717	44.9374
31.2555	0.033719	44.9319
31.3055	0.033721	44.9266
31.3555	0.033721	44.9218
31.4055	0.033723	44.9166
31.4475	0.033733	44.9122
31.4975	0.033731	44.9078
31.5475	0.033733	44.9024
31.5975	0.033737	44.8976
31.6554	0.033750	44.8917
31.7054	0.033754	44.8866
31.7554	0.033756	44.8820
31.8054	0.033756	44.8772
31.8473	0.033758	44.8726
31.8973	0.033766	44.8676
31.9473	0.033764	44.8628
31.9973	0.033764	44.8574
32.0552	0.033766	44.8524
32.1052	0.033772	44.8472
32.1552	0.033778	44.8419
32.2052	0.033778	44.8368
32.2471	0.033784	44.8330
32.2971	0.033790	44.8277
32.3471	0.033796	44.8224
32.3971	0.033796	44.8174
32.4551	0.033798	44.8119
32.5051	0.033804	44.8070
32.5551	0.033812	44.8018
32.6051	0.033816	44.7969
32.6469	0.033814	44.7926
32.6969	0.033812	44.7874
32.7469	0.033814	44.7826
32.7969	0.033823	44.7771
32.8549	0.033823	44.7718
32.9049	0.033823	44.7671
32.9549	0.033837	44.7620
33.0049	0.033839	44.7568
33.0468	0.033839	44.7530
33.0968	0.033843	44.7478
33.1468	0.033849	44.7429
33.1968	0.033855	44.7381
33.2547	0.033853	44.7319
33.3047	0.033855	44.7267
33.3547	0.033861	44.7220
33.4047	0.033865	44.7170
33.4466	0.033877	44.7128
33.4966	0.033877	44.7080
33.5466	0.033877	44.7026
33.5966	0.033877	44.6979
33.6386	0.033881	44.6937
33.6886	0.033887	44.6883
33.7386	0.033896	44.6838
33.7886	0.033896	44.6785
33.8465	0.033898	44.6727
33.8965	0.033902	44.6678
33.9465	0.033910	44.6628
33.9965	0.033916	44.6581
34.0384	0.033920	44.6538
34.0884	0.033918	44.6485
34.1384	0.033924	44.6434
34.1884	0.033926	44.6387
34.2463	0.033934	44.6327
34.2963	0.033938	44.6278
34.3463	0.033936	44.6227
34.3963	0.033936	44.6178
34.4382	0.033942	44.6139
34.4882	0.033954	44.6086
34.5382	0.033958	44.6034
34.5882	0.033958	44.5985
34.6461	0.033960	44.5928
34.6961	0.033969	44.5877
34.7461	0.033964	44.5830
34.7961	0.033966	44.5775
34.8381	0.033975	44.5734
34.8881	0.033981	44.5688
34.9381	0.033975	44.5634
34.9881	0.033971	44.5590
35.0460	0.033981	44.5529
35.0960	0.033985	44.5474
35.1460	0.033987	44.5423
35.1960	0.033991	44.5378
35.2380	0.033997	44.5339
35.2880	0.034003	44.5289
35.3380	0.034007	44.5236
35.3880	0.034013	44.5184
35.4458	0.034013	44.5131
35.4958	0.034019	44.5076
35.5458	0.034025	44.5028
35.5958	0.034023	44.4978
35.6382	0.034027	44.4934
35.6882	0.034037	44.4887
35.7382	0.034044	44.4834
35.7882	0.034046	44.4785
35.8457	0.034044	44.4732
35.8957	0.034056	44.4683
35.9457	0.034056	44.4630
35.9957	0.034060	44.4576
36.0376	0.034062	44.4536
36.0876	0.034058	44.4486
36.1376	0.034058	44.4434
36.1876	0.034072	44.4388
36.2455	0.034074	44.4329
36.2955	0.034068	44.4281
36.3455	0.034084	44.4231
36.3955	0.034090	44.4180
36.4374	0.034086	44.4140
36.4874	0.034092	44.4086
36.5374	0.034098	44.4033
36.5874	0.034100	44.3982
36.6295	0.034106	44.3943
36.6795	0.034114	44.3899
36.7295	0.034114	44.3847
36.7795	0.034123	44.3792
36.8372	0.034123	44.3733
36.8872	0.034121	44.3688
36.9372	0.034121	44.3641
36.9872	0.034123	44.3590
37.0292	0.034139	44.3546
37.0792	0.034145	44.3493
37.1292	0.034145	44.3450
37.1792	0.034145	44.3396
37.2371	0.034147	44.3338
37.2871	0.034157	44.3288
37.3371	0.034161	44.3238
37.3871	0.034171	44.3189
37.4291	0.034173	44.3146
37.4791	0.034175	44.3097
37.5291	0.034171	44.3047
37.5791	0.034171	44.2994
37.6369	0.034181	44.2932
37.6869	0.034198	44.2885
37.7369	0.034198	44.2840
37.7869	0.034202	44.2788
37.8289	0.034204	44.2744
37.8789	0.034210	44.2698
37.9289	0.034208	44.2646
37.9789	0.034216	44.2597
38.0368	0.034222	44.2538
38.0868	0.034226	44.2488
38.1368	0.034226	44.2440
38.1868	0.034236	44.2387
38.2290	0.034236	44.2343
38.2790	0.034238	44.2293
38.3290	0.034240	44.2246
38.3790	0.034244	44.2194
38.4366	0.034250	44.2137
38.4866	0.034250	44.2083
38.5366	0.034260	44.2035
38.5866	0.034264	44.1990
38.6285	0.034264	44.1951
38.6785	0.034269	44.1899
38.7285	0.034277	44.1845
38.7785	0.034281	44.1796
38.8373	0.034283	44.1740
38.8873	0.034289	44.1686
38.9373	0.034287	44.1638
38.9873	0.034295	44.1586
39.0287	0.034301	44.1545
39.0787	0.034307	44.1498
39.1287	0.034313	44.1446
39.1787	0.034307	44.1399
39.2364	0.034309	44.1338
39.2864	0.034325	44.1289
39.3364	0.034329	44.1241
39.3864	0.034329	44.1187
39.4282	0.034329	44.1143
39.4782	0.034337	44.1094
39.5282	0.034346	44.1046
39.5782	0.034344	44.0997
39.6361	0.034344	44.0937
39.6861	0.034356	44.0889
39.7361	0.034366	44.0837
39.7861	0.034368	44.0788
39.8280	0.034368	44.0747
39.8780	0.034376	44.0692
39.9280	0.034376	44.0647
39.9780	0.034384	44.0599
40.0200	0.034388	44.0557
40.0700	0.034390	44.0506
40.1200	0.034388	44.0458
40.1700	0.034390	44.0408
40.2284	0.034400	44.0344
40.2784	0.034408	44.0292
40.3284	0.034410	44.0245
40.3784	0.034414	44.0199
40.4198	0.034425	44.0154
40.4698	0.034429	44.0106
40.5198	0.034437	44.0058
40.5698	0.034435	44.0004
40.6279	0.034435	43.9949
40.6779	0.034445	43.9896
40.7279	0.034453	43.9848
40.7779	0.034453	43.9798
40.8196	0.034459	43.9755
40.8696	0.034463	43.9707
40.9196	0.034465	43.9652
40.9696	0.034469	43.9604
41.0279	0.034473	43.9546
41.0779	0.034485	43.9495
41.1279	0.034487	43.9449
41.1779	0.034485	43.9394
41.2197	0.034489	43.9356
41.2697	0.034491	43.9306
41.3197	0.034500	43.9253
41.3697	0.034514	43.9206
41.4274	0.034504	43.9146
41.4774	0.034504	43.9098
41.5274	0.034516	43.9048
41.5774	0.034526	43.8998
41.6194	0.034534	43.8957
41.6694	0.034534	43.8901
41.7194	0.034532	43.8854
41.7694	0.034538	43.8805
41.8272	0.034550	43.8745
